"season","gamedate","team","opponent","home","win"
2014,2015-04-11,"UTA","POR",0,1
2014,2015-04-11,"ORL","NYK",1,0
2014,2015-04-11,"MIA","TOR",1,0
2014,2015-04-11,"GSW","MIN",1,1
2014,2015-04-11,"PHI","CHI",0,0
2014,2015-04-11,"CHI","PHI",1,1
2014,2015-04-11,"MEM","LAC",0,0
2014,2015-04-11,"POR","UTA",1,0
2014,2015-04-11,"TOR","MIA",0,1
2014,2015-04-11,"NYK","ORL",0,1
2014,2015-04-11,"LAC","MEM",1,1
2014,2015-04-10,"ATL","CHA",1,1
2014,2015-04-10,"DEN","DAL",1,0
2014,2015-04-10,"SAS","HOU",0,1
2014,2015-04-10,"OKC","SAC",1,1
2014,2015-04-10,"BKN","WAS",1,1
2014,2015-04-10,"DAL","DEN",0,1
2014,2015-04-10,"SAC","OKC",0,0
2014,2015-04-10,"HOU","SAS",1,0
2014,2015-04-10,"CHA","ATL",0,0
2014,2015-04-10,"TOR","ORL",0,1
2014,2015-04-10,"NYK","MIL",1,0
2014,2015-04-10,"MIN","LAL",0,0
2014,2015-04-10,"BOS","CLE",0,1
2014,2015-04-10,"DET","IND",1,0
2014,2015-04-10,"PHX","NOP",0,0
2014,2015-04-10,"UTA","MEM",1,0
2014,2015-04-10,"NOP","PHX",1,1
2014,2015-04-10,"LAL","MIN",1,1
2014,2015-04-10,"MEM","UTA",0,1
2014,2015-04-10,"CLE","BOS",1,0
2014,2015-04-10,"ORL","TOR",1,0
2014,2015-04-10,"MIL","NYK",0,1
2014,2015-04-10,"IND","DET",0,1
2014,2015-04-10,"WAS","BKN",0,0
2014,2015-04-09,"POR","GSW",0,0
2014,2015-04-09,"MIA","CHI",1,0
2014,2015-04-09,"CHI","MIA",0,1
2014,2015-04-09,"GSW","POR",1,1
2014,2015-04-08,"PHI","WAS",1,0
2014,2015-04-08,"MEM","NOP",1,1
2014,2015-04-08,"ATL","BKN",0,1
2014,2015-04-08,"CHI","ORL",0,0
2014,2015-04-08,"UTA","SAC",1,1
2014,2015-04-08,"PHX","DAL",0,0
2014,2015-04-08,"DET","BOS",1,0
2014,2015-04-08,"MIN","POR",0,0
2014,2015-04-08,"DEN","LAL",1,1
2014,2015-04-08,"TOR","CHA",0,1
2014,2015-04-08,"HOU","SAS",0,0
2014,2015-04-08,"SAS","HOU",1,1
2014,2015-04-08,"MIL","CLE",1,0
2014,2015-04-08,"SAC","UTA",0,0
2014,2015-04-08,"CHA","TOR",1,0
2014,2015-04-08,"DAL","PHX",1,1
2014,2015-04-08,"BKN","ATL",1,0
2014,2015-04-08,"IND","NYK",0,1
2014,2015-04-08,"WAS","PHI",0,1
2014,2015-04-08,"LAL","DEN",0,0
2014,2015-04-08,"BOS","DET",0,1
2014,2015-04-08,"NOP","MEM",0,0
2014,2015-04-08,"CLE","MIL",0,1
2014,2015-04-08,"POR","MIN",1,1
2014,2015-04-08,"ORL","CHI",1,1
2014,2015-04-08,"NYK","IND",1,0
2014,2015-04-07,"SAC","MIN",1,1
2014,2015-04-07,"OKC","SAS",1,0
2014,2015-04-07,"GSW","NOP",0,0
2014,2015-04-07,"CHA","MIA",0,0
2014,2015-04-07,"MIA","CHA",1,1
2014,2015-04-07,"LAC","LAL",1,1
2014,2015-04-07,"PHX","ATL",0,0
2014,2015-04-07,"SAS","OKC",0,1
2014,2015-04-07,"ATL","PHX",1,1
2014,2015-04-07,"MIN","SAC",0,0
2014,2015-04-07,"NOP","GSW",1,1
2014,2015-04-07,"LAL","LAC",0,0
2014,2015-04-06,"POR","BKN",0,0
2014,2015-04-06,"BKN","POR",1,1
2014,2015-04-05,"PHI","NYK",0,0
2014,2015-04-05,"NYK","PHI",1,1
2014,2015-04-05,"IND","MIA",1,1
2014,2015-04-05,"MIA","IND",0,0
2014,2015-04-05,"CLE","CHI",1,1
2014,2015-04-05,"LAL","LAC",1,0
2014,2015-04-05,"UTA","SAC",0,1
2014,2015-04-05,"LAC","LAL",0,1
2014,2015-04-05,"CHI","CLE",0,0
2014,2015-04-05,"HOU","OKC",0,1
2014,2015-04-05,"SAC","UTA",1,0
2014,2015-04-05,"GSW","SAS",0,0
2014,2015-04-05,"OKC","HOU",1,0
2014,2015-04-05,"SAS","GSW",1,1
2014,2015-04-04,"MIL","ORL",1,0
2014,2015-04-04,"DET","MIA",1,1
2014,2015-04-04,"ATL","BKN",1,1
2014,2015-04-04,"DEN","LAC",1,0
2014,2015-04-04,"LAC","DEN",0,1
2014,2015-04-04,"UTA","PHX",0,0
2014,2015-04-04,"PHX","UTA",1,1
2014,2015-04-04,"NOP","POR",0,0
2014,2015-04-04,"POR","NOP",1,1
2014,2015-04-04,"BOS","TOR",0,1
2014,2015-04-04,"CHA","PHI",1,1
2014,2015-04-04,"TOR","BOS",1,0
2014,2015-04-04,"PHI","CHA",0,0
2014,2015-04-04,"WAS","MEM",0,1
2014,2015-04-04,"MEM","WAS",1,0
2014,2015-04-04,"DAL","GSW",1,0
2014,2015-04-04,"BKN","ATL",0,0
2014,2015-04-04,"GSW","DAL",0,1
2014,2015-04-04,"MIA","DET",0,0
2014,2015-04-04,"ORL","MIL",0,1
2014,2015-04-03,"BKN","TOR",1,1
2014,2015-04-03,"TOR","BKN",0,0
2014,2015-04-03,"LAL","POR",1,0
2014,2015-04-03,"SAS","DEN",1,1
2014,2015-04-03,"WAS","NYK",1,1
2014,2015-04-03,"MIL","BOS",0,1
2014,2015-04-03,"SAC","NOP",1,0
2014,2015-04-03,"DET","CHI",0,0
2014,2015-04-03,"MIN","ORL",1,0
2014,2015-04-03,"ORL","MIN",0,1
2014,2015-04-03,"NOP","SAC",0,1
2014,2015-04-03,"POR","LAL",0,1
2014,2015-04-03,"MEM","OKC",1,1
2014,2015-04-03,"CHI","DET",1,1
2014,2015-04-03,"DEN","SAS",0,0
2014,2015-04-03,"NYK","WAS",0,0
2014,2015-04-03,"BOS","MIL",1,0
2014,2015-04-03,"IND","CHA",1,1
2014,2015-04-03,"OKC","MEM",0,0
2014,2015-04-03,"CHA","IND",0,0
2014,2015-04-02,"PHX","GSW",0,0
2014,2015-04-02,"MIA","CLE",0,0
2014,2015-04-02,"GSW","PHX",1,1
2014,2015-04-02,"CLE","MIA",1,1
2014,2015-04-02,"DAL","HOU",1,0
2014,2015-04-02,"HOU","DAL",0,1
2014,2015-04-01,"NYK","BKN",1,0
2014,2015-04-01,"HOU","SAC",1,1
2014,2015-04-01,"DET","CHA",0,0
2014,2015-04-01,"DEN","UTA",0,0
2014,2015-04-01,"WAS","PHI",1,1
2014,2015-04-01,"OKC","DAL",1,0
2014,2015-04-01,"POR","LAC",1,0
2014,2015-04-01,"NOP","LAL",0,1
2014,2015-04-01,"BOS","IND",1,1
2014,2015-04-01,"CHA","DET",1,1
2014,2015-04-01,"UTA","DEN",1,1
2014,2015-04-01,"TOR","MIN",0,1
2014,2015-04-01,"IND","BOS",0,0
2014,2015-04-01,"BKN","NYK",0,1
2014,2015-04-01,"DAL","OKC",0,1
2014,2015-04-01,"MIL","CHI",1,1
2014,2015-04-01,"MIN","TOR",1,0
2014,2015-04-01,"LAC","POR",0,1
2014,2015-04-01,"LAL","NOP",1,0
2014,2015-04-01,"SAC","HOU",0,0
2014,2015-04-01,"CHI","MIL",0,0
2014,2015-04-01,"ORL","SAS",1,0
2014,2015-04-01,"SAS","ORL",0,1
2014,2015-04-01,"PHI","WAS",0,0
2014,2015-03-31,"ATL","DET",0,0
2014,2015-03-31,"DET","ATL",1,1
2014,2015-03-31,"MIA","SAS",1,0
2014,2015-03-31,"GSW","LAC",0,1
2014,2015-03-31,"IND","BKN",0,0
2014,2015-03-31,"SAS","MIA",0,1
2014,2015-03-31,"LAC","GSW",1,0
2014,2015-03-31,"BKN","IND",1,1
2014,2015-03-30,"MIL","ATL",0,0
2014,2015-03-30,"CHA","BOS",1,0
2014,2015-03-30,"MIN","UTA",1,0
2014,2015-03-30,"LAL","PHI",0,1
2014,2015-03-30,"MEM","SAC",1,1
2014,2015-03-30,"PHI","LAL",1,0
2014,2015-03-30,"SAC","MEM",0,0
2014,2015-03-30,"TOR","HOU",1,1
2014,2015-03-30,"POR","PHX",1,1
2014,2015-03-30,"BOS","CHA",0,1
2014,2015-03-30,"PHX","POR",0,0
2014,2015-03-30,"HOU","TOR",0,0
2014,2015-03-30,"ATL","MIL",1,1
2014,2015-03-30,"UTA","MIN",0,1
2014,2015-03-29,"LAL","BKN",0,0
2014,2015-03-29,"IND","DAL",1,1
2014,2015-03-29,"OKC","PHX",0,1
2014,2015-03-29,"BOS","LAC",1,0
2014,2015-03-29,"CLE","PHI",1,1
2014,2015-03-29,"PHI","CLE",0,0
2014,2015-03-29,"PHX","OKC",1,0
2014,2015-03-29,"DAL","IND",0,0
2014,2015-03-29,"MIA","DET",1,1
2014,2015-03-29,"MIN","NOP",0,0
2014,2015-03-29,"BKN","LAL",1,1
2014,2015-03-29,"HOU","WAS",0,1
2014,2015-03-29,"LAC","BOS",0,1
2014,2015-03-29,"SAS","MEM",1,1
2014,2015-03-29,"MEM","SAS",0,0
2014,2015-03-29,"WAS","HOU",1,0
2014,2015-03-29,"DET","MIA",0,0
2014,2015-03-29,"NOP","MIN",1,1
2014,2015-03-28,"CHA","ATL",1,1
2014,2015-03-28,"POR","DEN",1,1
2014,2015-03-28,"UTA","OKC",1,1
2014,2015-03-28,"ATL","CHA",0,0
2014,2015-03-28,"GSW","MIL",0,1
2014,2015-03-28,"OKC","UTA",0,0
2014,2015-03-28,"DEN","POR",0,0
2014,2015-03-28,"NYK","CHI",0,0
2014,2015-03-28,"CHI","NYK",1,1
2014,2015-03-28,"MIL","GSW",1,0
2014,2015-03-27,"MIN","HOU",0,0
2014,2015-03-27,"SAC","NOP",0,0
2014,2015-03-27,"BKN","CLE",1,1
2014,2015-03-27,"SAS","DAL",1,1
2014,2015-03-27,"MEM","GSW",1,0
2014,2015-03-27,"DAL","SAS",0,0
2014,2015-03-27,"BOS","NYK",0,1
2014,2015-03-27,"HOU","MIN",1,1
2014,2015-03-27,"LAL","TOR",0,0
2014,2015-03-27,"CHA","WAS",0,0
2014,2015-03-27,"UTA","DEN",0,0
2014,2015-03-27,"GSW","MEM",0,1
2014,2015-03-27,"ORL","DET",1,0
2014,2015-03-27,"LAC","PHI",0,1
2014,2015-03-27,"DET","ORL",0,1
2014,2015-03-27,"NYK","BOS",1,0
2014,2015-03-27,"NOP","SAC",1,1
2014,2015-03-27,"ATL","MIA",1,1
2014,2015-03-27,"WAS","CHA",1,1
2014,2015-03-27,"PHX","POR",1,0
2014,2015-03-27,"POR","PHX",0,1
2014,2015-03-27,"CLE","BKN",0,0
2014,2015-03-27,"MIA","ATL",0,0
2014,2015-03-27,"DEN","UTA",1,1
2014,2015-03-27,"TOR","LAL",1,1
2014,2015-03-27,"PHI","LAC",1,0
2014,2015-03-26,"IND","MIL",0,0
2014,2015-03-26,"MIL","IND",1,1
2014,2015-03-25,"BOS","MIA",1,0
2014,2015-03-25,"SAS","OKC",1,1
2014,2015-03-25,"MIA","BOS",0,1
2014,2015-03-25,"OKC","SAS",0,0
2014,2015-03-25,"CHA","BKN",1,0
2014,2015-03-25,"CLE","MEM",0,1
2014,2015-03-25,"DEN","PHI",1,0
2014,2015-03-25,"ORL","ATL",1,0
2014,2015-03-25,"IND","WAS",0,1
2014,2015-03-25,"MEM","CLE",1,0
2014,2015-03-25,"BKN","CHA",0,1
2014,2015-03-25,"SAC","PHX",0,1
2014,2015-03-25,"HOU","NOP",0,1
2014,2015-03-25,"PHI","DEN",0,1
2014,2015-03-25,"TOR","CHI",1,0
2014,2015-03-25,"MIN","LAL",1,0
2014,2015-03-25,"LAL","MIN",0,1
2014,2015-03-25,"NYK","LAC",1,0
2014,2015-03-25,"CHI","TOR",0,1
2014,2015-03-25,"ATL","ORL",0,1
2014,2015-03-25,"NOP","HOU",1,0
2014,2015-03-25,"WAS","IND",1,0
2014,2015-03-25,"PHX","SAC",1,0
2014,2015-03-25,"POR","UTA",0,1
2014,2015-03-25,"LAC","NYK",0,1
2014,2015-03-25,"UTA","POR",1,0
2014,2015-03-24,"POR","GSW",1,0
2014,2015-03-24,"LAL","OKC",0,0
2014,2015-03-24,"SAS","DAL",0,0
2014,2015-03-24,"TOR","DET",0,0
2014,2015-03-24,"PHI","SAC",0,0
2014,2015-03-24,"SAC","PHI",1,1
2014,2015-03-24,"MIL","MIA",1,1
2014,2015-03-24,"DAL","SAS",1,1
2014,2015-03-24,"OKC","LAL",1,1
2014,2015-03-24,"MIA","MIL",0,0
2014,2015-03-24,"GSW","POR",0,1
2014,2015-03-24,"DET","TOR",1,1
2014,2015-03-23,"BOS","BKN",0,1
2014,2015-03-23,"WAS","GSW",0,0
2014,2015-03-23,"IND","HOU",1,0
2014,2015-03-23,"MEM","NYK",0,1
2014,2015-03-23,"MIN","UTA",0,1
2014,2015-03-23,"UTA","MIN",1,0
2014,2015-03-23,"CHI","CHA",1,1
2014,2015-03-23,"NYK","MEM",1,0
2014,2015-03-23,"HOU","IND",0,1
2014,2015-03-23,"BKN","BOS",1,0
2014,2015-03-23,"CHA","CHI",0,0
2014,2015-03-23,"GSW","WAS",1,1
2014,2015-03-22,"NOP","LAC",0,0
2014,2015-03-22,"PHX","DAL",1,1
2014,2015-03-22,"DAL","PHX",0,0
2014,2015-03-22,"ORL","DEN",1,0
2014,2015-03-22,"CLE","MIL",0,1
2014,2015-03-22,"PHI","LAL",0,0
2014,2015-03-22,"LAC","NOP",1,1
2014,2015-03-22,"DEN","ORL",0,1
2014,2015-03-22,"SAS","ATL",0,1
2014,2015-03-22,"NYK","TOR",0,0
2014,2015-03-22,"WAS","SAC",0,0
2014,2015-03-22,"MIN","CHA",1,0
2014,2015-03-22,"BOS","DET",1,0
2014,2015-03-22,"MIA","OKC",0,0
2014,2015-03-22,"SAC","WAS",1,1
2014,2015-03-22,"LAL","PHI",1,1
2014,2015-03-22,"TOR","NYK",1,1
2014,2015-03-22,"MIL","CLE",1,0
2014,2015-03-22,"OKC","MIA",1,1
2014,2015-03-22,"ATL","SAS",1,0
2014,2015-03-22,"DET","BOS",0,1
2014,2015-03-22,"CHA","MIN",0,1
2014,2015-03-21,"IND","BKN",1,0
2014,2015-03-21,"UTA","GSW",0,0
2014,2015-03-21,"GSW","UTA",1,1
2014,2015-03-21,"POR","MEM",0,0
2014,2015-03-21,"DET","CHI",1,1
2014,2015-03-21,"CHI","DET",0,0
2014,2015-03-21,"PHX","HOU",0,1
2014,2015-03-21,"MEM","POR",1,1
2014,2015-03-21,"BKN","IND",0,1
2014,2015-03-21,"HOU","PHX",1,0
2014,2015-03-20,"ORL","POR",1,1
2014,2015-03-20,"DEN","MIA",0,0
2014,2015-03-20,"NOP","GSW",0,0
2014,2015-03-20,"IND","CLE",0,0
2014,2015-03-20,"BOS","SAS",0,0
2014,2015-03-20,"MIA","DEN",1,1
2014,2015-03-20,"ATL","OKC",0,0
2014,2015-03-20,"DAL","MEM",1,0
2014,2015-03-20,"MIL","BKN",0,0
2014,2015-03-20,"MEM","DAL",0,1
2014,2015-03-20,"OKC","ATL",1,1
2014,2015-03-20,"LAC","WAS",1,1
2014,2015-03-20,"BKN","MIL",1,1
2014,2015-03-20,"POR","ORL",0,0
2014,2015-03-20,"SAC","CHA",1,1
2014,2015-03-20,"TOR","CHI",0,0
2014,2015-03-20,"PHI","NYK",1,1
2014,2015-03-20,"GSW","NOP",1,1
2014,2015-03-20,"SAS","BOS",1,1
2014,2015-03-20,"CLE","IND",1,1
2014,2015-03-20,"CHA","SAC",0,0
2014,2015-03-20,"CHI","TOR",1,1
2014,2015-03-20,"NYK","PHI",0,0
2014,2015-03-20,"WAS","LAC",0,0
2014,2015-03-19,"NOP","PHX",0,0
2014,2015-03-19,"PHX","NOP",1,1
2014,2015-03-19,"NYK","MIN",1,0
2014,2015-03-19,"LAL","UTA",1,0
2014,2015-03-19,"MIN","NYK",0,1
2014,2015-03-19,"DEN","HOU",0,0
2014,2015-03-19,"HOU","DEN",1,1
2014,2015-03-19,"UTA","LAL",0,1
2014,2015-03-18,"ORL","DAL",0,0
2014,2015-03-18,"GSW","ATL",1,1
2014,2015-03-18,"POR","MIA",0,0
2014,2015-03-18,"OKC","BOS",1,1
2014,2015-03-18,"DET","PHI",0,0
2014,2015-03-18,"MIA","POR",1,1
2014,2015-03-18,"MIN","TOR",0,0
2014,2015-03-18,"SAC","LAC",1,0
2014,2015-03-18,"CLE","BKN",1,1
2014,2015-03-18,"CHI","IND",1,1
2014,2015-03-18,"WAS","UTA",0,1
2014,2015-03-18,"ATL","GSW",0,0
2014,2015-03-18,"DAL","ORL",1,1
2014,2015-03-18,"BKN","CLE",0,0
2014,2015-03-18,"MIL","SAS",1,0
2014,2015-03-18,"TOR","MIN",1,1
2014,2015-03-18,"IND","CHI",0,0
2014,2015-03-18,"UTA","WAS",1,0
2014,2015-03-18,"SAS","MIL",0,1
2014,2015-03-18,"PHI","DET",1,1
2014,2015-03-18,"BOS","OKC",0,0
2014,2015-03-18,"LAC","SAC",0,1
2014,2015-03-17,"MEM","DET",0,0
2014,2015-03-17,"NYK","SAS",1,1
2014,2015-03-17,"DET","MEM",1,1
2014,2015-03-17,"LAC","CHA",1,1
2014,2015-03-17,"CHA","LAC",0,0
2014,2015-03-17,"NOP","MIL",1,1
2014,2015-03-17,"SAS","NYK",0,0
2014,2015-03-17,"MIL","NOP",0,0
2014,2015-03-17,"ORL","HOU",0,0
2014,2015-03-17,"HOU","ORL",1,1
2014,2015-03-16,"MEM","DEN",1,1
2014,2015-03-16,"MIN","BKN",1,0
2014,2015-03-16,"LAL","GSW",0,0
2014,2015-03-16,"SAC","ATL",1,0
2014,2015-03-16,"PHI","BOS",0,0
2014,2015-03-16,"BKN","MIN",0,1
2014,2015-03-16,"ATL","SAC",0,1
2014,2015-03-16,"DAL","OKC",1,1
2014,2015-03-16,"CHA","UTA",0,0
2014,2015-03-16,"CLE","MIA",0,0
2014,2015-03-16,"MIA","CLE",1,1
2014,2015-03-16,"OKC","DAL",0,0
2014,2015-03-16,"POR","WAS",0,0
2014,2015-03-16,"GSW","LAL",1,1
2014,2015-03-16,"BOS","PHI",1,1
2014,2015-03-16,"IND","TOR",1,0
2014,2015-03-16,"DEN","MEM",0,0
2014,2015-03-16,"WAS","POR",1,1
2014,2015-03-16,"UTA","CHA",1,1
2014,2015-03-16,"TOR","IND",0,1
2014,2015-03-15,"SAS","MIN",1,1
2014,2015-03-15,"CLE","ORL",0,1
2014,2015-03-15,"ATL","LAL",0,1
2014,2015-03-15,"DEN","NOP",0,1
2014,2015-03-15,"LAC","HOU",1,0
2014,2015-03-15,"TOR","POR",1,0
2014,2015-03-15,"NOP","DEN",1,0
2014,2015-03-15,"HOU","LAC",0,1
2014,2015-03-15,"POR","TOR",0,1
2014,2015-03-15,"LAL","ATL",1,0
2014,2015-03-15,"MIN","SAS",0,0
2014,2015-03-15,"NYK","PHX",0,0
2014,2015-03-15,"OKC","CHI",1,1
2014,2015-03-15,"CHI","OKC",0,0
2014,2015-03-15,"PHX","NYK",1,1
2014,2015-03-15,"ORL","CLE",1,0
2014,2015-03-14,"PHI","BKN",1,0
2014,2015-03-14,"BOS","IND",0,1
2014,2015-03-14,"BKN","PHI",0,1
2014,2015-03-14,"MIL","MEM",0,0
2014,2015-03-14,"SAC","WAS",0,0
2014,2015-03-14,"DET","UTA",0,0
2014,2015-03-14,"WAS","SAC",1,1
2014,2015-03-14,"MEM","MIL",1,1
2014,2015-03-14,"IND","BOS",1,0
2014,2015-03-14,"NYK","GSW",0,0
2014,2015-03-14,"GSW","NYK",1,1
2014,2015-03-14,"UTA","DET",1,1
2014,2015-03-13,"ATL","PHX",0,1
2014,2015-03-13,"CHI","CHA",0,0
2014,2015-03-13,"LAC","DAL",0,0
2014,2015-03-13,"PHX","ATL",1,0
2014,2015-03-13,"OKC","MIN",1,1
2014,2015-03-13,"TOR","MIA",1,1
2014,2015-03-13,"GSW","DEN",0,0
2014,2015-03-13,"MIN","OKC",0,0
2014,2015-03-13,"BOS","ORL",1,1
2014,2015-03-13,"DEN","GSW",1,1
2014,2015-03-13,"PHI","SAC",1,1
2014,2015-03-13,"DET","POR",0,0
2014,2015-03-13,"DAL","LAC",1,1
2014,2015-03-13,"MIA","TOR",0,0
2014,2015-03-13,"ORL","BOS",0,0
2014,2015-03-13,"CHA","CHI",1,1
2014,2015-03-13,"POR","DET",1,1
2014,2015-03-13,"SAC","PHI",0,0
2014,2015-03-12,"LAL","NYK",1,0
2014,2015-03-12,"MEM","WAS",0,0
2014,2015-03-12,"NYK","LAL",0,1
2014,2015-03-12,"CLE","SAS",0,1
2014,2015-03-12,"WAS","MEM",1,1
2014,2015-03-12,"HOU","UTA",0,0
2014,2015-03-12,"SAS","CLE",1,0
2014,2015-03-12,"UTA","HOU",1,1
2014,2015-03-12,"IND","MIL",1,1
2014,2015-03-12,"MIL","IND",0,0
2014,2015-03-11,"GSW","DET",1,1
2014,2015-03-11,"BOS","MEM",1,1
2014,2015-03-11,"OKC","LAC",1,0
2014,2015-03-11,"MIA","BKN",1,1
2014,2015-03-11,"MIL","ORL",1,1
2014,2015-03-11,"PHI","CHI",1,0
2014,2015-03-11,"HOU","POR",0,0
2014,2015-03-11,"ATL","DEN",0,0
2014,2015-03-11,"SAC","CHA",0,1
2014,2015-03-11,"PHX","MIN",1,1
2014,2015-03-11,"DET","GSW",0,0
2014,2015-03-11,"MIN","PHX",0,0
2014,2015-03-11,"CHI","PHI",0,1
2014,2015-03-11,"MEM","BOS",0,0
2014,2015-03-11,"BKN","MIA",0,0
2014,2015-03-11,"DEN","ATL",1,1
2014,2015-03-11,"CHA","SAC",1,0
2014,2015-03-11,"ORL","MIL",0,0
2014,2015-03-11,"LAC","OKC",0,1
2014,2015-03-11,"POR","HOU",1,1
2014,2015-03-10,"NOP","BKN",0,1
2014,2015-03-10,"DET","LAL",0,0
2014,2015-03-10,"CLE","DAL",0,1
2014,2015-03-10,"UTA","NYK",1,1
2014,2015-03-10,"TOR","SAS",0,0
2014,2015-03-10,"DAL","CLE",1,0
2014,2015-03-10,"SAS","TOR",1,1
2014,2015-03-10,"LAL","DET",1,1
2014,2015-03-10,"IND","ORL",1,1
2014,2015-03-10,"ORL","IND",0,0
2014,2015-03-10,"NYK","UTA",0,0
2014,2015-03-10,"BKN","NOP",1,0
2014,2015-03-09,"GSW","PHX",0,1
2014,2015-03-09,"MIN","LAC",0,0
2014,2015-03-09,"CHI","MEM",1,0
2014,2015-03-09,"MIL","NOP",1,0
2014,2015-03-09,"SAC","ATL",0,0
2014,2015-03-09,"LAC","MIN",1,1
2014,2015-03-09,"MEM","CHI",0,1
2014,2015-03-09,"NYK","DEN",0,0
2014,2015-03-09,"MIA","BOS",1,0
2014,2015-03-09,"DEN","NYK",1,1
2014,2015-03-09,"WAS","CHA",0,1
2014,2015-03-09,"BOS","MIA",0,1
2014,2015-03-09,"ATL","SAC",1,1
2014,2015-03-09,"CHA","WAS",1,0
2014,2015-03-09,"NOP","MIL",0,1
2014,2015-03-09,"PHX","GSW",1,0
2014,2015-03-08,"SAS","CHI",1,1
2014,2015-03-08,"GSW","LAC",1,1
2014,2015-03-08,"LAL","DAL",1,0
2014,2015-03-08,"CHA","DET",0,1
2014,2015-03-08,"CHI","SAS",0,0
2014,2015-03-08,"OKC","TOR",1,1
2014,2015-03-08,"ORL","BOS",1,1
2014,2015-03-08,"BOS","ORL",0,0
2014,2015-03-08,"LAC","GSW",0,0
2014,2015-03-08,"TOR","OKC",0,0
2014,2015-03-08,"UTA","BKN",0,1
2014,2015-03-08,"DET","CHA",1,0
2014,2015-03-08,"DAL","LAL",0,1
2014,2015-03-08,"BKN","UTA",1,0
2014,2015-03-07,"CLE","PHX",1,1
2014,2015-03-07,"NYK","IND",1,0
2014,2015-03-07,"MIA","SAC",1,1
2014,2015-03-07,"WAS","MIL",0,0
2014,2015-03-07,"MIN","POR",1,1
2014,2015-03-07,"IND","NYK",0,1
2014,2015-03-07,"PHX","CLE",0,0
2014,2015-03-07,"NOP","MEM",1,1
2014,2015-03-07,"ATL","PHI",0,0
2014,2015-03-07,"MEM","NOP",0,0
